2021-01-05 18:23:33 [RuneLite] INFO  net.runelite.client.RuneLite - RuneLite 1.6.35.1 (launcher version 2.1.3) starting up, args: none
2021-01-05 18:23:34 [Preloader] INFO  net.runelite.client.rs.ClientLoader - Using cached vanilla client
2021-01-05 18:23:34 [Preloader] INFO  net.runelite.client.rs.ClientLoader - Using cached patched client
2021-01-05 18:23:34 [Preloader] INFO  net.runelite.client.rs.ClientLoader - client-patch 932746506.361
2021-01-05 18:23:36 [RuneLite] INFO  n.r.c.plugins.kourendlibrary.Library - Library is now reset
2021-01-05 18:23:37 [RuneLite] INFO  n.r.c.e.ExternalPluginManager - Loading external plugin "bank-tab-names" version "1.0.0" commit "524316bc3b36abca7ca0ecbf84636f79f54b376a"
2021-01-05 18:23:37 [RuneLite] INFO  n.r.c.e.ExternalPluginManager - Loading external plugin "inventory-setups" version "1.9.1" commit "d2a105088c7b52d599d5d45941f478885bba6e27"
2021-01-05 18:23:37 [RuneLite] INFO  n.r.c.e.ExternalPluginManager - Loading external plugin "stealing-artefacts" version "1.1" commit "d4ccb8955208137981bf636121ba1c87ab453108"
2021-01-05 18:23:37 [RuneLite] INFO  n.r.c.e.ExternalPluginManager - Loading external plugin "ba-minigame" version "1.1" commit "1f4a3ef21a44f7570405e5332789ab91747667fb"
2021-01-05 18:23:37 [RuneLite] INFO  n.r.c.e.ExternalPluginManager - Loading external plugin "quest-helper" version "1.2.1" commit "72e875aae313c8749344eb17b429fb2d1229f5b0"
2021-01-05 18:23:37 [RuneLite] INFO  n.r.c.e.ExternalPluginManager - Loading external plugin "bank-value-tracker" version "1.0-SNAPSHOT" commit "9f68064e7c2660ed9f98406b2ae850460b29246a"
2021-01-05 18:23:37 [RuneLite] INFO  n.r.c.e.ExternalPluginManager - Loading external plugin "skills-tab-progress-bars" version "0.7" commit "ab58a7463762e2707e2e51d5a0f1f15704b211a8"
2021-01-05 18:23:37 [RuneLite] INFO  n.r.c.e.ExternalPluginManager - Loading external plugin "bats-locator" version "1.0-SNAPSHOT" commit "890cefa0a95a734abc15a6b1f0681276c5c78c4d"
2021-01-05 18:23:38 [RuneLite] INFO  n.r.client.discord.DiscordService - Initializing Discord RPC service.
2021-01-05 18:23:40 [pool-3-thread-1] INFO  n.r.client.discord.DiscordService - Discord RPC service is ready with user Victor.
2021-01-05 18:23:40 [RuneLite] INFO  net.runelite.client.RuneLite - Client initialization took 6924ms. Uptime: 10150ms
2021-01-05 18:23:40 [AWT-EventQueue-0] INFO  net.runelite.client.ui.ClientUI - Showing frame net.runelite.client.ui.ContainableFrame[frame0,1920,0,1920x1040,layout=java.awt.BorderLayout,title=RuneLite,resizable,maximized,defaultCloseOperation=DO_NOTHING_ON_CLOSE,rootPane=javax.swing.JRootPane[,0,0,1920x1040,layout=org.pushingpixels.substance.internal.ui.SubstanceRootPaneUI$SubstanceRootLayout,alignmentX=0.0,alignmentY=0.0,border=org.pushingpixels.substance.internal.utils.border.SubstancePaneBorder@4fa191d9,flags=16777673,maximumSize=,minimumSize=,preferredSize=],rootPaneCheckingEnabled=true]
