2021-10-30 10:48:39 [RuneLite] INFO  net.runelite.client.RuneLite - RuneLite 1.8.0 (launcher version 2.1.3) starting up, args: none
2021-10-30 10:48:41 [Preloader] INFO  net.runelite.client.rs.ClientLoader - Using cached vanilla client
2021-10-30 10:48:41 [Preloader] INFO  net.runelite.client.rs.ClientLoader - Using cached patched client
2021-10-30 10:48:41 [Preloader] INFO  net.runelite.client.rs.ClientLoader - client-patch 1727126284.301
2021-10-30 10:48:42 [RuneLite] INFO  n.r.c.plugins.kourendlibrary.Library - Library is now reset
2021-10-30 10:48:43 [RuneLite] INFO  n.r.c.e.ExternalPluginManager - Loading external plugin "skills-tab-progress-bars" version "0.8" commit "edad37606858fb22dcea07ac9bb1f9324d737a80"
2021-10-30 10:48:43 [RuneLite] INFO  n.r.c.e.ExternalPluginManager - Loading external plugin "117hd" version "1.0.7" commit "079053ba31911b76eb931cccc3db7efed1c56d99"
2021-10-30 10:48:44 [RuneLite] INFO  n.r.c.e.ExternalPluginManager - Loading external plugin "spring-garden" version "1.1.0" commit "a107035b8e77cd82ea5a2c007c913531611130ed"
2021-10-30 10:48:44 [RuneLite] INFO  n.r.c.e.ExternalPluginManager - Loading external plugin "quest-helper" version "2.6.0" commit "3d9cc4ad2962b2b3cc363f3bb39502b428e403f4"
2021-10-30 10:48:44 [RuneLite] INFO  n.r.c.e.ExternalPluginManager - Loading external plugin "picture-in-picture" version "1.4.1" commit "32688a78c119187be8c33c62cf56f990fe9bb688"
2021-10-30 10:48:44 [RuneLite] INFO  n.r.c.e.ExternalPluginManager - Loading external plugin "not-empty" version "1.0" commit "e49ec7cc3927e911337ad48bd530cb52f5365183"
2021-10-30 10:48:44 [RuneLite] INFO  n.r.c.e.ExternalPluginManager - Loading external plugin "c-engineer-completed" version "0.2.1" commit "f7eafb03e65639fddd214d701fdf2cd262189ac1"
2021-10-30 10:48:44 [RuneLite] INFO  n.r.c.e.ExternalPluginManager - Loading external plugin "kitten-tracker" version "10e37f7e" commit "10e37f7ed5f2a171310987c44530878db4b8d011"
2021-10-30 10:48:44 [RuneLite] INFO  n.r.c.e.ExternalPluginManager - Loading external plugin "bats-locator" version "890cefa0" commit "890cefa0a95a734abc15a6b1f0681276c5c78c4d"
2021-10-30 10:48:44 [RuneLite] INFO  n.r.c.e.ExternalPluginManager - Loading external plugin "bank-xp-value" version "1.1" commit "076d21a191b5cec70ae9b6a78c42d0f848c337d7"
2021-10-30 10:48:44 [RuneLite] INFO  n.r.c.e.ExternalPluginManager - Loading external plugin "bank-value-tracker" version "757b7b33" commit "757b7b33bdfc27ba24d57fd22a15456f75558d00"
2021-10-30 10:48:44 [RuneLite] INFO  n.r.c.e.ExternalPluginManager - Loading external plugin "ba-minigame" version "1.42" commit "92da92790bd4657bb14e99cde01308bec94a2809"
2021-10-30 10:48:44 [RuneLite] INFO  n.r.c.e.ExternalPluginManager - Loading external plugin "tempoross" version "1.2" commit "af72eacca6df48b132232cb4dd5775b225fa2e5e"
2021-10-30 10:48:44 [RuneLite] INFO  n.r.c.e.ExternalPluginManager - Loading external plugin "bank-tab-names" version "1.0.0" commit "524316bc3b36abca7ca0ecbf84636f79f54b376a"
2021-10-30 10:48:44 [RuneLite] INFO  n.r.client.discord.DiscordService - Initializing Discord RPC service.
2021-10-30 10:48:45 [AWT-EventQueue-0] INFO  dekvall.notempty.NotEmptyPlugin - Not Empty started!
2021-10-30 10:48:46 [RuneLite] INFO  net.runelite.client.RuneLite - Client initialization took 6627ms. Uptime: 9345ms
2021-10-30 10:48:46 [AWT-EventQueue-0] INFO  net.runelite.client.ui.ClientUI - Showing frame net.runelite.client.ui.ContainableFrame[frame0,0,0,1920x1040,layout=java.awt.BorderLayout,title=RuneLite,resizable,maximized,defaultCloseOperation=DO_NOTHING_ON_CLOSE,rootPane=javax.swing.JRootPane[,0,0,1920x1040,layout=org.pushingpixels.substance.internal.ui.SubstanceRootPaneUI$SubstanceRootLayout,alignmentX=0.0,alignmentY=0.0,border=org.pushingpixels.substance.internal.utils.border.SubstancePaneBorder@6300a95a,flags=16777673,maximumSize=,minimumSize=,preferredSize=],rootPaneCheckingEnabled=true]
2021-10-30 10:48:46 [pool-3-thread-1] INFO  n.r.client.discord.DiscordService - Discord RPC service is ready with user Victor.
2021-10-30 10:48:47 [Client] INFO  n.r.client.plugins.gpu.GpuPlugin - Using device: NVIDIA GeForce RTX 2080/PCIe/SSE2
2021-10-30 10:48:47 [Client] INFO  n.r.client.plugins.gpu.GpuPlugin - Using driver: 4.6.0 NVIDIA 471.96
